id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1204101227291848704,1184322116084211712,1575915078000,2019-12-09,21:11:18,Russie TZ 2,3529450456,kristyn_e_start,Countess Peacock,,Just painted a gaggle of #hobgoblins I might do multiple #giveaways this day to share these. I ordered what I thought was each but they were multiplied sets? I don't need a hobgoblin army you guys.😲,[],[],[],1,0,0,"['#hobgoblins', '#giveaways']",[],https://twitter.com/Kristyn_E_Start/status/1204101227291848704,False,,0,,,,,,,"[{'user_id': '3529450456', 'username': 'Kristyn_E_Start'}]",
1202266871980085248,1202266871980085248,1575477733000,2019-12-04,19:42:13,Russie TZ 2,100687840,mondoheather,Heather Drain,,"Found a wad of spit on my car windshield this morning, capping off a week that has been a bit of a bummer. BUT...my spirits are good, since I have the MC from Club Scum as my guide! 😍 #Clubscum #darannorris #hobgoblins  pic.twitter.com/HMeDRTLobf",[],[],['https://pbs.twimg.com/media/EK9PWJfWwAA3dev.jpg'],3,1,11,"['#clubscum', '#darannorris', '#hobgoblins']",[],https://twitter.com/mondoheather/status/1202266871980085248,False,,0,,,,,,,"[{'user_id': '100687840', 'username': 'mondoheather'}]",
1202006092705755137,1202006092705755137,1575415559000,2019-12-04,02:25:59,Russie TZ 2,1197188774754574337,maclambra,Pestato Maclambra,,"Rule of Law: One set of rules for us, a different set for you. #consistency #hobgoblins #SmallMinds",[],[],[],0,0,0,"['#consistency', '#hobgoblins', '#smallminds']",[],https://twitter.com/maclambra/status/1202006092705755137,False,,0,,,,,,,"[{'user_id': '1197188774754574337', 'username': 'maclambra'}]",
1201251285858750466,1200773902714200065,1575235599000,2019-12-02,00:26:39,Russie TZ 2,852654972902793217,manyeyeswoman,ManyEyesWoman_VoteBlue💙🇺🇸,,"I agree BUT👉 under the uniquely insane circumstances wrought by Trump and his hoard of #Racist #Hobgoblins, it is essential we win the 2020 no matter what or we are ALL lost. #WhateverItTakes #JustDoIt #VoteBlueNoMatterWho pic.twitter.com/DYFm3wB30d","['lacadri34', 'rroarde']",[],[],0,0,3,"['#racist', '#hobgoblins', '#whateverittakes', '#justdoit', '#votebluenomatterwho']",[],https://twitter.com/ManyEyesWoman/status/1201251285858750466,False,,1,,,,,,,"[{'user_id': '852654972902793217', 'username': 'ManyEyesWoman'}, {'user_id': '760337274', 'username': 'lacadri34'}, {'user_id': '927791775103832064', 'username': 'rroarde'}]",
1196818695059902464,1196818695059902464,1574178787000,2019-11-19,18:53:07,Russie TZ 2,3437948249,daylightpub1066,Cam Warlock Day (Hershel's Holiday Handbook 12/12),,Without this guy's amazing work - by the by you should GIVE THIS MAN YOUR MONEY - the big baddy would not have been able to come to life! #hobgoblins #dnd5e #dmsguild https://twitter.com/tomeofscribbles/status/1196811257929719813 …,[],['https://twitter.com/tomeofscribbles/status/1196811257929719813'],[],0,0,2,"['#hobgoblins', '#dnd5e', '#dmsguild']",[],https://twitter.com/daylightpub1066/status/1196818695059902464,False,https://twitter.com/tomeofscribbles/status/1196811257929719813,0,,,,,,,"[{'user_id': '3437948249', 'username': 'daylightpub1066'}]",
1195417216268689408,1195417216268689408,1573844648000,2019-11-15,22:04:08,Russie TZ 2,16206218,dennispolhill,DennisPolhill,,"The whole aim of practical #Politics is to keep the populace #alarmed -- and hence clamorous to be #LED to #safety -- by menacing it with an endless series of 
 #hobgoblins, all of them imaginary.
H.L. #Mencken #goverenment",[],[],[],0,0,0,"['#politics', '#alarmed', '#led', '#safety', '#hobgoblins', '#mencken', '#goverenment']",[],https://twitter.com/DennisPolhill/status/1195417216268689408,False,,0,,,,,,,"[{'user_id': '16206218', 'username': 'DennisPolhill'}]",
1195122963277918208,1195122963277918208,1573774493000,2019-11-15,02:34:53,Russie TZ 2,1093446637127643136,thrillflix,ThrillFlix,,"Hobgoblins 2 - check it out in #Room236! 

Here's the trailer:  https://youtu.be/g1IouW43nfc 
#hobgoblins #room236 #thrillflix #horror #humor",[],['https://youtu.be/g1IouW43nfc'],[],0,1,3,"['#room236', '#hobgoblins', '#room236', '#thrillflix', '#horror', '#humor']",[],https://twitter.com/ThrillFlix/status/1195122963277918208,False,,0,,,,,,,"[{'user_id': '1093446637127643136', 'username': 'ThrillFlix'}]",
1191838307933667328,1191838307933667328,1572991370000,2019-11-06,01:02:50,Russie TZ 2,1093446637127643136,thrillflix,ThrillFlix,,"Here's another awesome trailer for you, it's a ROOM 236 movie!

 https://youtu.be/yvfhwYk5lRs  

Checkout all Room 236 movies at  https://www.thrillflix.com/programs/room-236 …
@Felissa_Rose @sadie_katz @DrJimmyStar
#hobgoblins #horror #fun #movies #Room236 #thrillflix","['felissa_rose', 'sadie_katz', 'drjimmystar']","['https://youtu.be/yvfhwYk5lRs', 'https://www.thrillflix.com/programs/room-236']",[],0,4,7,"['#hobgoblins', '#horror', '#fun', '#movies', '#room236', '#thrillflix']",[],https://twitter.com/ThrillFlix/status/1191838307933667328,False,,0,,,,,,,"[{'user_id': '1093446637127643136', 'username': 'ThrillFlix'}, {'user_id': '93780565', 'username': 'Felissa_Rose'}, {'user_id': '631263486', 'username': 'sadie_katz'}, {'user_id': '26570863', 'username': 'DrJimmyStar'}]",
1191803559014273025,1191754823068246018,1572983085000,2019-11-05,22:44:45,Russie TZ 2,219399528,filmmakerj,FilmmakerJ 🦊☁️🎵,,"What I find funny, is this is the 2nd time voice actor Daran Norris (@golfstoomuch) has shown up in something you guys have riffed on. The first time was when he was a nightclub host in #Hobgoblins, back on #mst3k.","['rifftrax', 'jeff_delgado', 'golfstoomuch']",[],[],1,0,3,"['#hobgoblins', '#mst3k']",[],https://twitter.com/FilmmakerJ/status/1191803559014273025,False,,0,,,,,,,"[{'user_id': '219399528', 'username': 'FilmmakerJ'}, {'user_id': '14307648', 'username': 'RiffTrax'}, {'user_id': '117513525', 'username': 'Jeff_Delgado'}, {'user_id': '238627538', 'username': 'golfstoomuch'}]",
1190009260681252864,1190009260681252864,1572555291000,2019-10-31,23:54:51,Russie TZ 2,52885515,dariusjedburgh,Darius Jedburgh,,"#Hobgoblins was posted on YouTube HD today with the #MysteryScienceTheater3000 commentary spliced in. Do yourself a favor and enjoy this comedic gem. #MST3k (Fav. Ep)

 https://www.youtube.com/watch?v=3ptZf8LipEQ …",[],['https://www.youtube.com/watch?v=3ptZf8LipEQ'],[],0,0,1,"['#hobgoblins', '#mysterysciencetheater3000', '#mst3k']",[],https://twitter.com/DariusJedburgh/status/1190009260681252864,False,,0,,,,,,,"[{'user_id': '52885515', 'username': 'DariusJedburgh'}]",
