id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1204742977957986304,1204742977957986304,1576068083000,2019-12-11,15:41:23,Russie TZ 2,1176677589567463425,bollylover7,Bollylover,,@TheAaryanKartik is good. @bhumipednekar is very good👍 but @ananyapandayy 😘 looks very gorgeous in every frame that you can't take your eyes out of her 😍😍& her acting also improved 👍from  #studentoftheyear2 .. #ananyapanday #KartikAaryan #BhumiPednekar #PatiPatniAurWoh pic.twitter.com/WCxdtZBqT8,"['theaaryankartik', 'bhumipednekar', 'ananyapandayy']",[],[],0,0,1,"['#studentoftheyear2', '#ananyapanday', '#kartikaaryan', '#bhumipednekar', '#patipatniaurwoh']",[],https://twitter.com/Bollylover7/status/1204742977957986304,False,,1,,,,,,,"[{'user_id': '1176677589567463425', 'username': 'Bollylover7'}, {'user_id': '531976957', 'username': 'TheAaryanKartik'}, {'user_id': '243332437', 'username': 'bhumipednekar'}, {'user_id': '1047428392428044289', 'username': 'ananyapandayy'}]",
1204627476028129280,1204627476028129280,1576040545000,2019-12-11,08:02:25,Russie TZ 2,1189560203982692353,digitalnewss,Entertainment News,,"Tara Sutaria vs Ananya Pandey : The Promising New Face

 https://www.iwmbuzz.com/movies/snippets-movies/tara-sutaria-vs-ananya-pandey-promising-new-face/2019/12/11 …
#actresses #AnanyaPandey #Bollywood #StudentOfTheYear2 #TaraSutaria #ThePromisingNewFace
@ananyapandayy",['ananyapandayy'],['https://www.iwmbuzz.com/movies/snippets-movies/tara-sutaria-vs-ananya-pandey-promising-new-face/2019/12/11'],[],1,0,2,"['#actresses', '#ananyapandey', '#bollywood', '#studentoftheyear2', '#tarasutaria', '#thepromisingnewface']",[],https://twitter.com/digitalnewss/status/1204627476028129280,False,,0,,,,,,,"[{'user_id': '1189560203982692353', 'username': 'digitalnewss'}, {'user_id': '1047428392428044289', 'username': 'ananyapandayy'}]",
1204424053806624768,1204424053806624768,1575992046000,2019-12-10,18:34:06,Russie TZ 2,168692355,tutejajoginder,Joginder Tuteja,,.@ananyapandayy Enjoys Yet Another Success With #PatiPatniAurWoh After #StudentOfTheYear2 @DMmovies https://m.desimartini.com/news/martini-shots/trending/ananya-pandey-enjoys-yet-another-good-weekend-with-pati-patni-aur-woh-after-student-of-the-year-2-article127391.htm …,"['ananyapandayy', 'dmmovies']",['https://m.desimartini.com/news/martini-shots/trending/ananya-pandey-enjoys-yet-another-good-weekend-with-pati-patni-aur-woh-after-student-of-the-year-2-article127391.htm'],[],8,12,298,"['#patipatniaurwoh', '#studentoftheyear2']",[],https://twitter.com/Tutejajoginder/status/1204424053806624768,False,,0,,,,,,,"[{'user_id': '168692355', 'username': 'Tutejajoginder'}, {'user_id': '1047428392428044289', 'username': 'ananyapandayy'}, {'user_id': '90359547', 'username': 'DMmovies'}]",
1204321969962766336,1204321969962766336,1575967707000,2019-12-10,11:48:27,Russie TZ 2,140002080,geekishleaks,Gee VJ©️ 🇲🇾🇸🇬🇹🇭🇭🇰🇨🇳🇯🇵🇺🇸,,"Me watching #StudentOfTheYear2 

Mom: why are these girls not wearing pants? 🙄",[],[],[],3,0,4,['#studentoftheyear2'],[],https://twitter.com/geekishleaks/status/1204321969962766336,False,,0,,,,,,,"[{'user_id': '140002080', 'username': 'geekishleaks'}]",
1203989461106745345,1203989461106745345,1575888431000,2019-12-09,13:47:11,Russie TZ 2,90359547,dmmovies,Desimartini,,"#AnanyaPandey enjoys yet another good weekend with #PatiPatniAurWoh after #StudentOfTheYear2

Read the full story here:  https://www.desimartini.com/news/martini-shots/trending/ananya-pandey-enjoys-yet-another-good-weekend-with-pati-patni-aur-woh-after-student-of-the-year-2-article127391.htm …",[],['https://www.desimartini.com/news/martini-shots/trending/ananya-pandey-enjoys-yet-another-good-weekend-with-pati-patni-aur-woh-after-student-of-the-year-2-article127391.htm'],[],0,0,1,"['#ananyapandey', '#patipatniaurwoh', '#studentoftheyear2']",[],https://twitter.com/DMmovies/status/1203989461106745345,False,,0,,,,,,,"[{'user_id': '90359547', 'username': 'DMmovies'}]",
1203681849526013952,1203681849526013952,1575815090000,2019-12-08,17:24:50,Russie TZ 2,549352438,arjunraipuri,Arjun Rai Puri,,"When Sameer Soni agreed to do the role in #StudentOfTheYear2 ,it seemed that he was following in the footsteps of @chintskap who played the prinicipal in the first part...",['chintskap'],[],[],0,0,0,['#studentoftheyear2'],[],https://twitter.com/ArjunRaiPuri/status/1203681849526013952,False,,0,,,,,,,"[{'user_id': '549352438', 'username': 'ArjunRaiPuri'}, {'user_id': '105710210', 'username': 'chintskap'}]",
1203681161592967169,1203681161592967169,1575814926000,2019-12-08,17:22:06,Russie TZ 2,549352438,arjunraipuri,Arjun Rai Puri,,Difficult to imagine what brownie points were earned by showing @GulPanag as a lesbian in #StudentOfTheYear2 & most importantly why did she agree to do role of a coach whose students are busy breaking bones but she is looking away all those times instead of teaching them manners,['gulpanag'],[],[],0,0,0,['#studentoftheyear2'],[],https://twitter.com/ArjunRaiPuri/status/1203681161592967169,False,,0,,,,,,,"[{'user_id': '549352438', 'username': 'ArjunRaiPuri'}, {'user_id': '23061619', 'username': 'GulPanag'}]",
1203672037736222720,1203672037736222720,1575812751000,2019-12-08,16:45:51,Russie TZ 2,555783546,saurabh_datta,Saurabh Datta,,"Out now! Thank Ajinkya Sir for the choreography.
#TheJawaaniSong #StudentOfTheYear2 #MusicVideo https://www.youtube.com/watch?v=NUaaD_jgWy4&feature=share …",[],['https://www.youtube.com/watch?v=NUaaD_jgWy4&feature=share'],[],0,0,1,"['#thejawaanisong', '#studentoftheyear2', '#musicvideo']",[],https://twitter.com/saurabh_datta/status/1203672037736222720,False,,0,,,,,,,"[{'user_id': '555783546', 'username': 'saurabh_datta'}]",
1203548949614862336,1203548949614862336,1575783405000,2019-12-08,08:36:45,Russie TZ 2,168692355,tutejajoginder,Joginder Tuteja,,"For @ananyapandayy, #PatiPatniAurWoh has resulted in two-in-a-row good weekends in her debut year itself. Even #StudentOfTheYear2 had taken a good start and now this one is finding even more appreciation. This is set to be a SUPERHIT for the newbie actress.",['ananyapandayy'],[],[],1,10,177,"['#patipatniaurwoh', '#studentoftheyear2']",[],https://twitter.com/Tutejajoginder/status/1203548949614862336,False,,0,,,,,,,"[{'user_id': '168692355', 'username': 'Tutejajoginder'}, {'user_id': '1047428392428044289', 'username': 'ananyapandayy'}]",
1203333298660921344,1203333298660921344,1575731989000,2019-12-07,18:19:49,Russie TZ 2,1365863611,skforyou,Clown,,"#StudentOfTheYear2
#TigerShroff's circus is not enough for to making a film..
#Backwaas👎",[],[],[],0,0,1,"['#studentoftheyear2', '#tigershroff', '#backwaas']",[],https://twitter.com/SKforYou/status/1203333298660921344,False,,0,,,,,,,"[{'user_id': '1365863611', 'username': 'SKforYou'}]",
