id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1205545493721501697,1205545493721501697,1576259418000,2019-12-13,20:50:18,Russie TZ 2,1078676347,galindoeileen,Eileen Galindo,,"2019 took 2 very dear men... #CarmineCaridi and now #DannyAiello Rest In Peace my dear ones... gentlemen and rascals both a youse #TheRosatoBrothers #TheGodfather 😞 @ Atwater Village, Los Angeles  https://www.instagram.com/p/B6BYekBp9IR/?igshid=1whdjrh3r0wun …",[],['https://www.instagram.com/p/B6BYekBp9IR/?igshid=1whdjrh3r0wun'],[],0,0,0,"['#carminecaridi', '#dannyaiello', '#therosatobrothers', '#thegodfather']",[],https://twitter.com/GalindoEileen/status/1205545493721501697,False,,0,,,,,,,"[{'user_id': '1078676347', 'username': 'GalindoEileen'}]",
1205530770460332032,1205530770460332032,1576255908000,2019-12-13,19:51:48,Russie TZ 2,404497054,bernardibeauty,bernardi beauty blog,,"I wasn't a member of the Hollywood inner circle. I grew up working-class, not privileged. I'm street. - Danny Aiello

#DannyAiello, #Oscar nominee for ‘#DotheRightThing,’ dies at 86   https://lat.ms/34iL9WD 
#restinpeace #italianamerican #SpikeLee #SouthBronx #NYC #TheGodfather  pic.twitter.com/hj4yL8ghDc",[],['https://lat.ms/34iL9WD'],['https://pbs.twimg.com/media/ELrn2IcW4AAZGi3.jpg'],0,1,0,"['#dannyaiello', '#oscar', '#dotherightthing', '#restinpeace', '#italianamerican', '#spikelee', '#southbronx', '#nyc', '#thegodfather']",[],https://twitter.com/BernardiBeauty/status/1205530770460332032,False,,0,,,,,,,"[{'user_id': '404497054', 'username': 'BernardiBeauty'}]",
1205528805269524481,1205528805269524481,1576255439000,2019-12-13,19:43:59,Russie TZ 2,258691395,stevecoots,Stephen Cooter,,Winners! Thank you @Caid_Centre #theplanets #jupiter #thegodfather @ProfBrianCox @bbcstudios pic.twitter.com/DeV7xsLFOo,"['caid_centre', 'profbriancox', 'bbcstudios']",[],['https://pbs.twimg.com/media/ELrmDLzW4AE37U0.jpg'],0,0,4,"['#theplanets', '#jupiter', '#thegodfather']",[],https://twitter.com/stevecoots/status/1205528805269524481,False,,0,,,,,,,"[{'user_id': '258691395', 'username': 'stevecoots'}, {'user_id': '389983706', 'username': 'Caid_Centre'}, {'user_id': '17939037', 'username': 'ProfBrianCox'}, {'user_id': '728154884676034560', 'username': 'bbcstudios'}]",
1205526486431813635,1205526486431813635,1576254886000,2019-12-13,19:34:46,Russie TZ 2,529586293,newslink7com,newslink7.com,,"Danny Aiello- Do The Right Thing- actor dies in New Jersey following 'sudden illness' Read More  http://Newslink7.com 
#actor #Aiello #Danny #Dies #Do #jersey #new #right #THE #TheGodfather #THING  https://newslink7.com  pic.twitter.com/UbcyLjG0bF",[],"['http://Newslink7.com', 'https://newslink7.com']",['https://pbs.twimg.com/media/ELrj81SXUAAknXh.jpg'],0,0,0,"['#actor', '#aiello', '#danny', '#dies', '#do', '#jersey', '#new', '#right', '#the', '#thegodfather', '#thing']",[],https://twitter.com/newslink7com/status/1205526486431813635,False,,0,,,,,,,"[{'user_id': '529586293', 'username': 'newslink7com'}]",
1205523593276403712,1205514099284742146,1576254196000,2019-12-13,19:23:16,Russie TZ 2,20922507,anika22,anika,,RIP #DannyAiello #ThePurpleRoseofTheCairo #RadioDays #TheGodfather #MoonStruck #OnceuponatimeinAmerica... Great actor! pic.twitter.com/zgEuD6hmRi,['nytimes'],[],[],0,1,0,"['#dannyaiello', '#thepurpleroseofthecairo', '#radiodays', '#thegodfather', '#moonstruck', '#onceuponatimeinamerica']",[],https://twitter.com/anika22/status/1205523593276403712,False,,1,,,,,,,"[{'user_id': '20922507', 'username': 'anika22'}, {'user_id': '807095', 'username': 'nytimes'}]",
1205518349519785985,1205518349519785985,1576252946000,2019-12-13,19:02:26,Russie TZ 2,1343979541,hanisfarsi,Hani Farsi,,He was one of those rare talents who made acting look effortless. A very sad loss. #DannyAiello #DoTheRightThing #TheGodfather #Moonstruck #Actor https://twitter.com/nytimes/status/1205514099284742146 …,[],['https://twitter.com/nytimes/status/1205514099284742146'],[],0,0,0,"['#dannyaiello', '#dotherightthing', '#thegodfather', '#moonstruck', '#actor']",[],https://twitter.com/HaniSFarsi/status/1205518349519785985,False,https://twitter.com/nytimes/status/1205514099284742146,0,,,,,,,"[{'user_id': '1343979541', 'username': 'HaniSFarsi'}]",
1205518023919980546,1205510434410905605,1576252869000,2019-12-13,19:01:09,Russie TZ 2,2990434532,dailyflickny,Daily Flick NY,,"Danny Aiello Explains On Charlie Rose In 2014 How Line From Godfather II (""Michael Corleone Says Hello”) Was Ad-Libbed.
#TheGodfather #TonyRosato https://twitter.com/DailyFlickNY/status/1205512287001251841?s=19 …",['timothys'],['https://twitter.com/DailyFlickNY/status/1205512287001251841?s=19'],[],0,0,0,"['#thegodfather', '#tonyrosato']",[],https://twitter.com/DailyFlickNY/status/1205518023919980546,False,https://twitter.com/DailyFlickNY/status/1205512287001251841,0,,,,,,,"[{'user_id': '2990434532', 'username': 'DailyFlickNY'}, {'user_id': '15818978', 'username': 'TimothyS'}]",
1205512287001251841,712407023326011392,1576251501000,2019-12-13,18:38:21,Russie TZ 2,2990434532,dailyflickny,Daily Flick NY,,"#DFNYLines:
Danny Aiello Explains On Charlie Rose In 2014 How Famous Line From Godfather II (""Michael Corleone Says Hello”) Was Ad-Libbed.
#TheGodfather #TonyRosato
 https://youtu.be/Q_QVt_JCS54  pic.twitter.com/GiIagx22HZ",[],['https://youtu.be/Q_QVt_JCS54'],['https://pbs.twimg.com/media/ELrXCEHUwAEKwOL.jpg'],0,0,1,"['#dfnylines', '#thegodfather', '#tonyrosato']",[],https://twitter.com/DailyFlickNY/status/1205512287001251841,False,,0,,,,,,,"[{'user_id': '2990434532', 'username': 'DailyFlickNY'}]",
1205509439421333504,1205509439421333504,1576250822000,2019-12-13,18:27:02,Russie TZ 2,69484146,gswsyndicate,GSWSyndicate,,Marlin #Brando In The Codfather by @LTCartoons #marlonbrando #godfather #thegodfather #fish #fishing #bait #baitandtackle #vegan #veganism #humor #mafia #comics #cartoons #ricklondon #LTCartoons #movies pic.twitter.com/vYckN7CseJ,['ltcartoons'],[],['https://pbs.twimg.com/media/ELrUckLWwAgN6qe.jpg'],0,0,0,"['#brando', '#marlonbrando', '#godfather', '#thegodfather', '#fish', '#fishing', '#bait', '#baitandtackle', '#vegan', '#veganism', '#humor', '#mafia', '#comics', '#cartoons', '#ricklondon', '#ltcartoons', '#movies']",[],https://twitter.com/GSWSyndicate/status/1205509439421333504,False,,0,,,,,,,"[{'user_id': '69484146', 'username': 'GSWSyndicate'}, {'user_id': '332254979', 'username': 'LTCartoons'}]",
1205502128598466560,1205502128598466560,1576249079000,2019-12-13,17:57:59,Russie TZ 2,918805160,benlavell,Ben Lavell,,We’re having a belter and there’s two more cherubs on their way for a bit of Uncle Ben time. Best Friday ever #whatelection #babysitting #uncleben #thegodfather  pic.twitter.com/EWRdsqimZD,[],[],"['https://pbs.twimg.com/media/ELrNyloXYAYEmUv.jpg', 'https://pbs.twimg.com/media/ELrNyltXUAA32T7.jpg', 'https://pbs.twimg.com/media/ELrNynCXUAAxhhH.jpg']",0,0,3,"['#whatelection', '#babysitting', '#uncleben', '#thegodfather']",[],https://twitter.com/BenLavell/status/1205502128598466560,False,,0,,,,,,,"[{'user_id': '918805160', 'username': 'BenLavell'}]",
